taxon	n_methods	mean_rank	rank_std	rank_range	top5_fraction	sign_stable	pseudocount_stable	stability_score
Vineibacter terrae	11	135.55	52.99	140.0	0.0	False	False	0.1588
Yersinia ruckeri	11	137.36	53.42	140.0	0.0	False	False	0.1577
Pseudomonas tianjinensis	11	138.0	53.84	176.0	0.0	False	False	0.1566
Leclercia pneumoniae	11	143.36	56.48	177.0	0.0	False	False	0.1504
Pectobacterium cacticida	11	147.18	54.18	175.0	0.0	False	False	0.1558
Mucilaginibacter koreensis	11	155.73	54.45	173.0	0.0	False	False	0.1552
Kluyvera georgiana	11	155.91	54.89	169.0	0.0	False	False	0.1541
Enterobacter mori	11	157.18	50.86	168.0	0.0	False	False	0.1643
Pluralibacter pyrinus	11	160.0	51.01	171.0	0.0	False	False	0.1639
Rahnella aceris	11	163.55	50.3	170.0	0.0	False	False	0.1658
