taxon	Jumper	Laggard	fold_diff	direction	contaminant_flag	contamination_score	contamination_risk	pseudocount_stable	pseudocount_stability_score	pseudocount_mean_rank	pseudocount_rank_std	sign_stable	top5_stable_pseudocount	loto_top5_stability	loto_mean_rank_shift	loto_influence_score	is_high_leverage	pseudocount_score	loto_score	combined_stability	stability_tier
Flavobacterium enshiense	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1826	94.45	44.76	False	0.0	0.0	1.92	0.001186	False	0.1826	0.9808	0.5817	MEDIUM
Flavobacterium luticocti	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.172	94.18	48.14	False	0.0	0.0	-0.14	0.001186	False	0.172	0.9986	0.5853	MEDIUM
Flavobacterium palustre	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1682	97.09	49.46	False	0.0	0.0	-0.24	0.001186	False	0.1682	0.9976	0.5829	MEDIUM
Flavobacterium xanthum	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1794	92.64	45.75	False	0.0	0.0	-0.25	0.001186	False	0.1794	0.9975	0.5884	MEDIUM
Gemmata massiliana	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1677	92.73	49.64	False	0.0	0.0	-0.26	0.001186	False	0.1677	0.9974	0.5826	MEDIUM
Halopseudomonas pelagia	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1799	92.73	45.57	False	0.0	0.0	0.01	0.001186	False	0.1799	0.9999	0.5899	MEDIUM
Hansschlegelia beijingensis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1699	86.91	48.87	False	0.0	0.0	0.01	0.001186	False	0.1699	0.9999	0.5849	MEDIUM
Janibacter endophyticus	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2439	105.45	31.01	False	0.0	0.0	-0.95	0.002462	False	0.2439	0.9905	0.6172	MEDIUM
Kosakonia arachidis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1685	95.55	49.33	False	0.0	0.0	1.07	0.001186	False	0.1685	0.9893	0.5789	MEDIUM
Lewinella cohaerens	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2549	107.27	29.23	False	0.0	0.0	0.76	0.002462	False	0.2549	0.9924	0.6236	MEDIUM
Limnoglobus roseus	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1587	102.73	53.02	False	0.0	0.0	-0.37	0.001186	False	0.1587	0.9963	0.5775	MEDIUM
Luminiphilus syltensis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1565	99.27	53.89	False	0.0	0.0	-0.45	0.001186	False	0.1565	0.9955	0.576	MEDIUM
Luteimonas abyssi	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1609	97.36	52.15	False	0.0	0.0	-0.37	0.001186	False	0.1609	0.9963	0.5786	MEDIUM
Lysobacter brunescens	0	5		Laggard-exclusive	False	0.0825	LOW	False	0.1414	94.18	60.73	False	0.0	0.0	-0.18	0.007284	False	0.1414	0.9982	0.5698	MEDIUM
Massilia agri	0	4		Laggard-exclusive	False	0.0995	LOW	False	0.1556	93.36	54.27	False	0.0	0.0	1.48	0.00611	False	0.1556	0.9852	0.5704	MEDIUM
Massilia alkalitolerans	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2621	107.82	28.15	False	0.0	0.0	-1.2	0.002462	False	0.2621	0.988	0.625	MEDIUM
Massilia arenae	0	11		Laggard-exclusive	False	0.034	LOW	False	0.1149	77.27	77.02	False	0.0	0.0	-0.06	0.011434	False	0.1149	0.9994	0.5572	MEDIUM
Massilia arvi	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1517	103.55	55.91	False	0.0	0.0	-25.37	0.001186	True	0.1517	0.7463	0.449	LOW
Massilia haematophila	0	3		Laggard-exclusive	False	0.1335	LOW	False	0.1831	103.55	44.61	False	0.0	0.0	0.45	0.004596	False	0.1831	0.9955	0.5893	MEDIUM
Massilia niastensis	0	6		Laggard-exclusive	False	0.0733	LOW	False	0.1262	87.0	69.24	False	0.0	0.0	0.02	0.008244	False	0.1262	0.9998	0.563	MEDIUM
Massilia norwichensis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1521	100.82	55.76	False	0.0	0.0	0.0	0.001186	False	0.1521	1.0	0.576	MEDIUM
Massilia pinisoli	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1573	104.27	53.57	False	0.0	0.0	-1.76	0.001186	False	0.1573	0.9824	0.5698	MEDIUM
Massilia rhizosphaerae	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1519	102.55	55.83	False	0.0	0.0	2.42	0.001186	False	0.1519	0.9758	0.5638	MEDIUM
Massilia terrae	0	8		Laggard-exclusive	False	0.0524	LOW	False	0.121	85.18	72.64	False	0.0	0.0	-0.15	0.009758	False	0.121	0.9985	0.5598	MEDIUM
Massilia yuzhufengensis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1631	97.64	51.3	False	0.0	0.0	0.45	0.001186	False	0.1631	0.9955	0.5793	MEDIUM
Methylovulum psychrotolerans	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1583	100.09	53.16	False	0.0	0.0	-0.43	0.001186	False	0.1583	0.9957	0.577	MEDIUM
Moraxella atlantae	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2589	109.18	28.63	False	0.0	0.0	-3.54	0.002462	False	0.2589	0.9646	0.6118	MEDIUM
Moraxella lacunata	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2741	110.64	26.49	False	0.0	0.0	-0.49	0.002462	False	0.2741	0.9951	0.6346	MEDIUM
Moritella profunda	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.164	101.0	50.98	False	0.0	0.0	-0.01	0.001186	False	0.164	0.9999	0.582	MEDIUM
Pantoea alhagi	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1582	104.18	53.19	False	0.0	0.0	2.93	0.001186	False	0.1582	0.9707	0.5644	MEDIUM
Paraburkholderia pallida	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.165	100.82	50.61	False	0.0	0.0	1.97	0.001186	False	0.165	0.9803	0.5726	MEDIUM
Pseudomonas aeruginosa	0	8		Laggard-exclusive	True	0.0524	LOW	False	0.1202	88.82	73.17	False	0.0	0.0	-0.03	0.009758	False	0.1202	0.9997	0.56	MEDIUM
Pseudomonas alkylphenolica	0	13		Laggard-exclusive	True	0.0301	LOW	False	0.1154	75.27	76.66	False	0.0	0.0	-0.06	0.012313	False	0.1154	0.9994	0.5574	MEDIUM
Pseudomonas alloputida	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1612	102.55	52.05	False	0.0	0.0	2.56	0.001186	False	0.1612	0.9744	0.5678	MEDIUM
Pseudomonas azotoformans	0	13		Laggard-exclusive	True	0.0301	LOW	False	0.1146	75.64	77.3	False	0.0	0.0	-0.03	0.012313	False	0.1146	0.9997	0.5572	MEDIUM
Pseudomonas bijieensis	0	3		Laggard-exclusive	True	0.1335	LOW	False	0.185	107.18	44.07	False	0.0	0.0	-1.11	0.004596	False	0.185	0.9889	0.587	MEDIUM
Pseudomonas carbonaria	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.167	119.55	49.87	False	0.0	0.0	-18.48	0.001186	False	0.167	0.8152	0.4911	LOW
Pseudomonas caricapapayae	0	2		Laggard-exclusive	True	0.1976	LOW	False	0.2369	113.91	32.2	False	0.0	0.0	-2.14	0.002462	False	0.2369	0.9786	0.6078	MEDIUM
