taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
110	1	0	0.1862	0.0	1.3389	1.1835	-2.4565	6.2469	2.1575	0.7329	0.2671	Jumper-exclusive (low-count)	False	20000	Pontibacter roseus
111	3	0	0.5587	0.0	2.5644	2.3373	-0.7129	7.1309	1.9901	0.9291	0.0709	Jumper-exclusive (low-count)	False	20000	Proteus faecis
112	1	3	0.1862	0.5894	-1.2964	-1.2289	-4.2609	1.2514	1.3953	0.1679	0.832	Laggard-leaning (uncertain)	False	20000	Providencia stuartii
113	1	0	0.1862	0.0	1.3692	1.1811	-2.4242	6.1616	2.1392	0.7399	0.2601	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas arabiensis
114	2	0	0.3724	0.0	2.0519	1.8403	-1.3967	6.6761	2.0296	0.8615	0.1385	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas fenneropenaei
115	1	0	0.1862	0.0	1.3358	1.1794	-2.4974	6.1099	2.143	0.734	0.266	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas luteoviolacea
116	1	0	0.1862	0.0	1.3457	1.1704	-2.5024	6.1867	2.1648	0.7325	0.2675	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas peptidolytica
117	10	0	1.8622	0.0	4.132	3.8464	1.2766	8.6188	1.8754	0.9995	0.0005	Jumper-enriched	True	20000	Pseudoalteromonas phenolica
118	1	0	0.1862	0.0	1.3694	1.191	-2.4255	6.2233	2.1653	0.7376	0.2625	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas telluritireducens
119	1	0	0.1862	0.0	1.3806	1.2045	-2.4732	6.2599	2.1809	0.739	0.261	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas translucida
120	1	0	0.1862	0.0	1.346	1.2019	-2.4857	6.1411	2.1654	0.7338	0.2662	Jumper-exclusive (low-count)	False	20000	Pseudoalteromonas xiamenensis
121	0	8	0.0	1.5717	-3.9982	-3.7213	-8.5945	-1.0834	1.9085	0.0015	0.9984	Laggard-enriched	True	20000	Pseudomonas aeruginosa
122	2	5	0.3724	0.9823	-1.2087	-1.1705	-3.4873	0.8386	1.0867	0.125	0.875	Laggard-leaning (uncertain)	False	20000	Pseudomonas alcaligenes
123	0	13	0.0	2.554	-4.6363	-4.3651	-9.0555	-1.7933	1.8567	0.0	1.0	Laggard-enriched	True	20000	Pseudomonas alkylphenolica
124	0	1	0.0	0.1965	-1.5433	-1.3695	-6.4444	2.3285	2.1892	0.2357	0.7642	Laggard-exclusive (low-count)	False	20000	Pseudomonas alloputida
125	2	0	0.3724	0.0	2.0908	1.8893	-1.3362	6.7502	2.0375	0.8667	0.1333	Jumper-exclusive (low-count)	False	20000	Pseudomonas arcuscaelestis
126	0	13	0.0	2.554	-4.6537	-4.367	-9.0971	-1.8036	1.8606	0.0	1.0	Laggard-enriched	True	20000	Pseudomonas azotoformans
127	0	3	0.0	0.5894	-2.6988	-2.4572	-7.3599	0.5405	1.9814	0.0563	0.9437	Laggard-exclusive (low-count)	False	20000	Pseudomonas bijieensis
128	0	1	0.0	0.1965	-1.5172	-1.3433	-6.368	2.3521	2.1737	0.2363	0.7637	Laggard-exclusive (low-count)	False	20000	Pseudomonas carbonaria
129	0	2	0.0	0.3929	-2.2303	-1.9984	-6.9467	1.1866	2.0422	0.1155	0.8844	Laggard-exclusive (low-count)	False	20000	Pseudomonas caricapapayae
130	0	2	0.0	0.3929	-2.2485	-2.0174	-6.9243	1.1593	2.0445	0.1137	0.8863	Laggard-exclusive (low-count)	False	20000	Pseudomonas delhiensis
131	0	1	0.0	0.1965	-1.5395	-1.3722	-6.3474	2.2558	2.1495	0.2323	0.7677	Laggard-exclusive (low-count)	False	20000	Pseudomonas duriflava
132	0	1	0.0	0.1965	-1.5343	-1.3554	-6.3383	2.3357	2.1787	0.2346	0.7654	Laggard-exclusive (low-count)	False	20000	Pseudomonas extremorientalis
