ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map03320	map03320	13	0.431371717859593	1.12655403191605	0.302702702702703	0.610367744793974	0.558916120607234	2335	tags=23%, list=13%, signal=20%	XM_067093698.1/XM_067122690.1/XM_067089424.1
map05207	map05207	14	0.422438549390263	1.12201753953408	0.315789473684211	0.626485568760611	0.573675274774372	6684	tags=57%, list=37%, signal=36%	XM_067105492.1/XM_067116297.1/XM_067110139.1/XM_067100740.1/XM_067100744.1/XM_067094502.1/XM_067100741.1/XM_067129236.1
map05164	map05164	11	0.44730240198506	1.11662117626584	0.328458942632171	0.641276983234239	0.587219830603881	6684	tags=55%, list=37%, signal=34%	XM_067116297.1/XM_067100740.1/XM_067100744.1/XM_067129433.1/XM_067100741.1/XM_067129236.1
map01212	map01212	14	-0.260674947300359	-1.09107361158043	0.340925884249117	0.645136673271406	0.590754163800089	2876	tags=50%, list=16%, signal=42%	XM_067097336.1/XM_067097334.1/XM_067088388.1/XM_067120438.1/XM_067082351.1/XM_067126664.1/XM_067092586.1
map04920	map04920	14	-0.258997600067426	-1.08405295492638	0.340925884249117	0.645136673271406	0.590754163800089	3522	tags=71%, list=20%, signal=58%	XM_067093675.1/XM_067093687.1/XM_067089421.1/XM_067089427.1/XM_067097336.1/XM_067097334.1/XM_067097582.1/XM_067097581.1/JP353568.1/XM_067108014.1
map05163	map05163	12	0.428935070585291	1.0968425558543	0.349118942731278	0.65063075690829	0.595785117579692	3216	tags=33%, list=18%, signal=27%	XM_067116297.1/XM_067110139.1/XM_067108538.1/XM_067095929.1
map04146	map04146	18	0.392483101033208	1.0910007712822	0.372651356993737	0.679276000766137	0.622015678921495	6389	tags=50%, list=35%, signal=32%	XM_067089678.1/XM_067129306.1/XM_067133256.1/XM_067089723.1/XM_067119754.1/XM_067093980.1/EU077526.1/XM_067089717.1/XM_067087858.1
map04213	map04213	14	-0.246244658847715	-1.03067460852614	0.380281690140845	0.679276000766137	0.622015678921495	2688	tags=50%, list=15%, signal=43%	XM_067097582.1/XM_067099926.1/XM_067094793.1/XM_067097581.1/JP353568.1/XM_067108014.1/XM_067092947.1
map05034	map05034	12	0.420775420892852	1.07597727428309	0.381057268722467	0.679276000766137	0.622015678921495	6792	tags=50%, list=38%, signal=31%	XM_067116047.1/XM_067110139.1/XM_067124917.1/XM_067122560.1/XM_067122562.1/XM_067122563.1
map01524	map01524	11	0.424820081565259	1.06049754500221	0.394825646794151	0.693765065081151	0.635283371533445	4493	tags=45%, list=25%, signal=34%	XM_067116297.1/XM_067122441.1/XM_067106550.1/XM_067122440.1/XM_067094502.1
map05205	map05205	17	0.38579875444295	1.06708594604124	0.410041841004184	0.71035417526077	0.650474084320944	7754	tags=53%, list=43%, signal=30%	XM_067116297.1/XM_067110139.1/XM_067129115.1/XM_067127548.1/XM_067082077.1/XM_067129236.1/XM_067129112.1/XM_067134410.1/XM_067116106.1
map00564	map00564	13	-0.262456257290452	-1.01342255231647	0.441558441558442	0.738539079620161	0.676283110991504	13292	tags=23%, list=74%, signal=6%	XM_067086603.1/XM_067114102.1/XM_067117899.1
map01110	map01110	73	0.313789515333159	1.02918164933071	0.443443443443443	0.738539079620161	0.676283110991504	6371	tags=38%, list=35%, signal=25%	XM_067109837.1/XM_067093698.1/XM_067130337.1/XM_067130336.1/XM_067092708.1/XM_067121369.1/XM_067089424.1/XM_067107184.1/XM_067115588.1/XM_067102618.1/XM_067101995.1/XM_067118936.1/XM_067123764.1/XM_067121370.1/XM_067116293.1/XM_067106589.1/XM_067092707.1/XM_067120393.1/XM_067127212.1/XM_067101545.1/XM_067100889.1/XM_067107185.1/XM_067084960.1/XM_067099351.1/XM_067096034.1/XM_067083830.1/XM_067092675.1/XM_067117872.1
map04013	map04013	13	0.394695439087021	1.03077165208844	0.444324324324324	0.738539079620161	0.676283110991504	5949	tags=46%, list=33%, signal=31%	XM_067110139.1/XM_067115481.1/XM_067129306.1/XM_067114157.1/EU077526.1/XM_067115483.1
map01120	map01120	28	0.347695228568425	1.03709182116762	0.452040816326531	0.74134693877551	0.678854278553527	5833	tags=43%, list=32%, signal=29%	XM_067093698.1/XM_067124898.1/XM_067095873.1/XM_067089424.1/XM_067131936.1/XM_067093980.1/XM_067115588.1/XM_067123764.1/XM_067106589.1/XM_067084960.1/XM_067099351.1/XM_067083830.1
