	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067112453.1	11.2603	16.7832	6.8510	16.0467	8.4574	9.1350	5.6924	7.6902	0.3752	16.9927	18.0044	13.0545	28.3564	25.5318	8.0129	1.7431	12.2413	9.7313	16.2328	21.5978
XM_067112455.1	1.4096	0.7088	1.1148	1.1821	0.1728	1.6318	2.1837	0.6684	1.0159	0.6947	1.2047	0.6390	1.9080	0.9626	0.7376	1.1896	0.9791	1.2035	0.6136	2.0558
XM_067112457.1	2.9417	9.4478	5.1804	7.8489	9.5857	3.5195	7.3077	2.1404	11.8070	4.2251	4.8625	3.1215	6.6599	4.5346	7.0764	5.2102	7.2078	6.0361	2.7145	16.0248
XM_067112458.1	2.6833	7.3021	2.8210	6.0473	7.7832	3.4265	1.4090	0.9782	6.6757	18.7461	0.7955	1.5954	0.6975	1.5701	1.2398	5.8139	4.6947	2.0031	3.9326	9.3860
XM_067112459.1	12.3791	1.6316	1.6617	2.2014	1.6031	0.6300	3.3104	2.9969	0.0682	2.9140	3.7965	7.0086	4.1298	10.9276	17.3609	4.9143	15.0847	0.7842	1.3305	6.1285
XM_067112464.1	10.9698	14.6451	8.0955	21.9988	15.5290	13.7540	13.5346	10.4833	19.5348	3.4730	27.0603	12.5070	12.5205	0.3504	22.4513	50.6207	20.1616	12.8255	13.0367	25.6410
XM_067112466.1	1.2858	1.0317	0.5315	1.8617	1.4076	0.2040	0.4836	0.1430	0.0171	0.0471	2.8334	4.4628	0.0000	0.0000	3.5266	1.4592	4.2729	0.1116	1.2911	3.7792
XM_067112470.1	1.5744	2.3132	0.7058	1.0582	1.1669	1.0677	1.3571	0.8221	2.1207	3.9251	0.4873	0.4676	0.2165	0.5681	4.2229	0.0000	0.0000	1.2442	0.4183	0.6052
XM_067112472.1	57.4490	69.0005	62.1531	63.9011	66.4402	67.4365	56.3811	75.0918	74.9769	64.5375	46.4389	65.1112	66.9093	49.1389	52.0319	71.7863	51.6946	67.3157	58.2396	65.0751
XM_067112473.1	4.8980	1.8850	3.8691	9.0656	3.4547	3.7792	1.9005	4.1946	2.0224	0.6422	26.2924	2.4119	1.5085	6.3111	3.0803	15.4701	18.0273	0.9516	0.3013	2.4462
