	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
OQ030443.1	429.21	233.36	247.41	716.31	583.67	566.22	463.78	347.12	2677.17	2744.81	3725.72	2144.33	2979.61	370.23	1080.42	263.61	2235.30	551.73	586.58	320.99
OQ230279.1	35.61	36.07	9.02	57.91	189.89	125.85	142.99	56.85	12.64	4.56	175.02	21.25	123.13	27.67	212.09	116.17	120.65	23.53	44.73	98.26
OQ411018.1	372.47	245.17	1913.62	80.34	253.24	436.51	356.46	1429.92	607.78	3965.35	2689.46	5804.51	100.87	162.34	1263.38	239.05	40.38	782.93	1606.23	6.30
OR130524.1	47681.69	37408.38	25522.01	9383.91	15338.73	6777.47	2644.78	5818.09	11104.08	11463.60	13789.30	9369.52	20017.77	6247.79	10997.32	19718.83	50796.50	39721.16	7360.92	13182.09
OR358841.1	348.97	549.87	241.09	324.63	530.06	182.98	299.75	257.91	219.63	301.28	794.91	426.64	676.17	118.86	323.15	570.94	929.72	671.97	192.98	518.12
OR602687.1	6714.83	9314.56	4366.39	9545.80	15918.31	11620.43	16093.31	7982.47	11811.87	3717.44	6554.91	5288.05	4911.72	13923.81	6018.34	12319.36	6727.25	5515.91	6202.37	8557.77
OR602688.1	57.35	12.99	11.87	48.60	121.34	31.55	16.41	38.64	125.32	134.70	114.43	117.31	98.85	66.40	43.61	35.80	108.60	54.62	19.32	17.91
OR602694.1	457.13	699.50	305.15	516.06	1072.06	342.76	584.56	523.40	388.67	217.75	615.44	403.19	414.08	319.43	483.80	637.90	756.29	565.93	212.73	381.62
OR804099.1	1.29	0.00	0.00	35.70	0.00	0.00	25.07	0.00	0.00	0.00	46.55	9.35	1.00	0.00	9.63	3.10	72.48	0.00	1.00	0.00
PP501523.1	43.38	27.96	18.61	55.34	112.76	107.90	93.98	67.61	203.31	106.25	403.24	140.72	251.21	47.36	46.73	199.91	14.49	30.32	15.89	38.26
PP501524.1	11.34	0.00	36.92	544.28	3807.19	4319.94	464.79	635.16	6.68	0.00	0.00	23.36	6.15	45.10	149.03	0.00	198.34	0.00	145.86	386.25
PP645728.1	224.11	190.01	109.31	100.21	100.08	46.95	82.73	71.49	189.43	143.32	225.55	168.45	131.02	59.56	77.41	130.80	216.79	189.06	22.47	29.63
PP645729.1	1619.15	2244.22	1460.76	577.97	688.98	774.19	785.22	979.18	1189.84	257.48	254.25	663.41	1289.18	894.69	545.56	292.47	744.82	762.84	548.45	594.52
PP645730.1	14.26	4.71	16.86	62.56	86.70	51.67	39.73	40.95	44.88	53.95	86.61	52.17	54.07	29.61	55.98	36.92	25.30	12.51	43.25	36.30
PP645732.1	79.57	115.20	86.89	141.21	139.16	65.47	45.25	91.00	129.29	92.53	237.09	253.68	208.33	49.17	64.79	59.58	184.18	44.21	92.00	39.73
PP645733.1	428.98	152.42	210.74	152.39	125.14	100.87	90.18	84.25	793.06	1559.85	2000.96	1198.70	1392.08	42.90	128.79	721.12	695.93	249.38	63.59	77.03
PQ046648.1	1289.09	1653.12	1533.53	2190.16	0.00	851.02	592.18	1367.75	18182.73	34543.22	26686.00	0.00	22662.55	825.09	1838.96	9594.92	3867.22	13.43	0.00	1083.81
PQ046649.1	112.02	36.68	57.78	41.78	35.96	53.68	13.63	44.59	825.00	989.79	431.80	410.61	298.56	43.36	41.70	39.74	165.79	57.66	22.88	0.00
PQ202739.1	64.09	11.74	23.55	26.81	22.36	18.29	11.88	10.57	3527.18	2770.65	3630.05	3412.26	1924.66	34.16	13.55	13.05	270.72	75.42	12.11	4.24
PQ202740.1	39.18	4.44	0.00	0.00	17.88	5.92	3.47	0.00	1177.09	941.30	1876.52	1220.26	2168.98	24.95	9.06	17.27	1.53	56.52	10.68	15.54
PV130571.1	24.08	15.77	20.74	690.88	1166.49	638.98	586.53	626.60	0.00	0.00	0.00	0.00	1.00	164.74	257.99	26.09	12.63	7.57	224.64	145.16
PV247130.1	3418.93	8875.66	2581.92	1423.42	4254.87	3166.91	3678.78	2142.59	747.37	461.46	1899.08	647.83	1004.24	768.99	1720.83	2402.64	3251.74	5022.32	1055.04	1569.89
PV247131.1	412.94	383.01	77.53	83.55	395.02	24.79	133.32	13.81	274.87	53.08	1248.56	246.38	216.90	33.72	78.97	1159.64	237.60	331.58	25.98	81.95
PV247132.1	69.08	0.00	5.90	6.00	1.40	26.48	0.00	0.00	102.86	338.23	74.55	286.18	13.12	2.67	14.93	16.10	23.58	0.00	8.93	0.00
PV613373.1	17.65	9.55	4.05	17.93	34.07	10.99	11.85	8.41	28.00	31.70	36.17	66.32	28.75	19.13	26.86	29.64	64.26	13.21	8.98	9.99
PV694213.1	2444.00	6676.31	1479.87	632.60	888.79	1382.23	870.94	748.89	188.81	14.19	1642.19	161.80	86.70	596.53	536.53	5736.01	290.30	1527.77	775.36	615.91
PX400223.1	22.27	82.92	62.73	16.38	73.73	19.39	15.00	2.40	1355.87	916.20	1252.81	1158.88	1548.34	64.34	5.62	79.83	117.80	121.45	5.95	6.97
PX400224.1	47.45	42.79	5.61	925.47	310.23	94.16	181.06	236.07	40.86	71.08	49.86	32.57	36.44	889.00	586.09	921.78	1.64	26.65	600.02	191.47
PX530358.1	0.00	5.00	0.00	1167.38	1003.80	785.85	807.31	810.01	0.00	0.00	0.00	0.00	0.00	396.00	743.04	79.00	0.00	0.00	398.00	429.33
PX869305.1	0.00	0.00	0.00	3033.43	1052.45	1435.52	630.89	654.02	4.01	0.00	0.00	0.00	0.00	3906.27	2392.80	4587.73	0.00	0.00	590.65	7112.97
PZ246843.1	108.73	118.39	122.03	606.89	299.86	283.44	168.00	284.48	0.00	0.00	18.45	8.06	26.44	127.36	350.36	43.16	82.21	60.48	253.44	620.39
XM_067080948.1	47.00	34.00	33.00	30.00	51.00	44.47	24.00	20.00	213.52	306.51	457.36	222.13	220.35	22.00	41.95	89.00	55.00	48.00	18.00	20.00
XM_067080949.1	0.00	122.39	172.80	291.72	487.70	147.19	272.58	100.89	168.64	27.45	413.12	24.45	263.39	0.00	211.52	1187.76	1507.82	116.87	39.34	0.00
XM_067080961.1	8.39	0.00	4.12	20.00	40.98	0.00	5.98	0.00	216.79	849.45	205.00	257.00	340.71	1.00	14.09	4.60	50.56	55.65	0.00	0.00
XM_067080969.1	50.79	8.41	5.81	7.96	204.46	20.28	16.62	15.23	154.70	453.81	454.75	410.25	436.04	12.70	34.31	108.01	58.73	166.85	30.14	2.04
XM_067080977.1	150.00	164.00	128.45	95.00	139.00	47.00	83.35	57.00	300.91	214.00	332.96	243.00	289.87	59.20	60.00	131.00	101.00	123.00	19.00	39.00
XM_067080983.1	0.00	32.90	0.00	1434.17	1566.80	151.12	619.69	296.56	9.89	0.00	0.00	0.00	3.89	606.30	1500.33	10.02	0.00	0.00	1258.07	285.15
XM_067080987.1	18.00	0.00	0.00	312.61	168.50	106.08	181.00	126.13	1.00	0.00	0.00	0.00	1.00	113.00	296.45	0.00	6.00	4.00	183.61	41.00
XM_067080990.1	20.00	20.00	12.93	568.53	28.24	141.92	67.77	301.02	0.00	3.00	19.64	2.48	7.00	344.00	287.55	3.99	23.00	9.05	362.87	14.00
XM_067080992.1	2.00	11.01	0.00	312.54	57.00	576.26	245.25	1245.09	8.93	0.00	0.00	0.00	10.10	483.92	115.96	4.00	0.00	2.00	267.60	55.00
XM_067080993.1	85.00	321.00	11.00	555.31	311.00	373.13	298.32	619.94	9.00	38.00	32.00	17.00	9.00	402.95	341.00	35.00	18.00	121.00	474.85	51.00
XM_067080996.1	0.00	9.00	1.00	966.01	1442.00	1226.79	771.18	1011.58	2.00	5.00	1.00	1.00	2.00	724.65	549.08	752.05	1.00	2.00	403.34	786.65
XM_067081004.1	0.00	5.00	12.00	4258.95	8321.90	10966.97	2848.89	11140.78	24.00	5.00	3.00	0.00	0.00	7529.20	4147.06	2545.62	2.00	4.00	10466.44	6505.52
XM_067081005.1	239.20	259.59	505.53	98.25	82.65	116.52	77.58	161.94	1639.36	927.97	1125.03	896.28	1731.27	204.81	164.33	32.61	186.22	185.40	53.34	86.86
XM_067081026.1	833.63	369.95	367.15	407.03	292.46	102.39	0.00	111.63	188.77	138.15	351.61	189.20	0.00	500.69	0.00	2189.52	2041.39	136.97	0.00	240.22
XM_067081039.1	610.30	732.85	396.57	224.76	589.75	216.61	169.97	225.37	965.49	583.38	1813.58	921.07	1062.48	127.08	121.36	457.58	295.83	416.29	37.42	65.83
XM_067081040.1	265.08	183.30	83.27	146.29	527.79	147.25	139.65	160.88	122.12	123.83	1164.36	186.84	296.99	86.61	85.68	508.66	325.25	183.27	25.84	85.74
XM_067081044.1	1021.00	1437.73	827.51	74.00	58.00	59.00	80.68	96.00	8173.11	7021.53	11697.18	6903.79	8413.83	26.00	337.02	137.00	1069.14	705.01	29.00	46.00
XM_067081049.1	28.20	66.36	24.89	58.57	66.96	31.40	41.79	27.37	39.41	20.48	21.81	31.93	193.94	27.54	48.68	34.77	102.24	31.48	30.57	35.15
XM_067081053.1	336.46	0.00	0.00	19.17	15.05	0.00	3.39	11.79	31.48	2.48	6.20	23.88	86.70	0.00	24.13	11.69	1073.04	909.73	0.00	13.71
XM_067081057.1	34.74	54.28	34.14	150.44	190.30	98.33	132.27	84.13	17.13	51.05	88.39	48.83	57.02	65.39	156.02	66.41	55.55	44.49	162.75	83.70
XM_067081064.1	154.02	78.00	45.00	122.12	132.00	79.22	71.00	70.00	468.88	495.00	525.07	422.85	531.43	81.00	148.08	129.00	357.00	169.00	63.00	74.02
XM_067081077.1	119.00	82.00	54.00	133.00	211.00	115.00	75.89	112.00	1141.95	1190.24	1292.35	967.17	1192.92	106.00	139.00	214.00	223.77	99.00	93.00	88.03
XM_067081078.1	255.00	104.00	109.00	274.67	289.00	125.00	150.00	177.00	1047.02	1193.83	1114.76	953.98	1085.28	373.24	203.00	195.01	903.05	243.00	181.66	195.99
XM_067081089.1	342.12	158.38	83.00	341.76	2064.46	571.33	770.42	478.18	246.00	187.47	551.32	184.86	331.28	232.27	226.98	286.21	435.92	323.00	134.09	171.12
XM_067081091.1	8.63	26.00	6.54	52.46	61.72	69.81	59.00	104.15	4.00	1.00	0.00	0.00	2.00	9.45	49.00	75.66	7.00	26.00	119.00	40.59
XM_067081096.1	37.00	14.00	15.00	231.00	290.00	295.13	115.02	123.00	1657.36	1896.67	5837.63	1466.10	1080.18	34.00	182.00	278.00	42.00	22.00	123.19	49.00
XM_067081100.1	1.00	0.00	13.00	629.84	730.00	117.00	703.05	255.00	1.00	1.00	1.00	2.00	0.00	179.00	254.99	949.66	0.00	3.00	94.00	127.00
XM_067081101.1	73.31	74.38	27.64	2.00	4.99	1.80	1.00	1.00	6.64	6.30	0.00	55.68	1.00	2.00	72.33	14.13	286.26	66.46	0.00	1.00
XM_067081103.1	0.00	4.43	235.93	0.00	484445.64	270207.24	180018.30	344955.81	1.00	0.00	0.00	0.00	0.00	0.00	7.51	33.29	0.00	3.00	0.00	3.75
XM_067081120.1	0.00	0.00	0.00	60.81	0.00	49.21	0.00	72.58	761.80	813.53	264.26	754.44	651.75	100.14	295.68	78.22	102.30	229.43	131.29	0.00
XM_067081121.1	163.41	77.03	229.25	74.11	88.23	33.08	12.68	67.10	1225.05	853.11	651.01	892.80	1138.31	119.77	132.18	82.55	155.35	300.87	88.24	58.63
XM_067081122.1	235.23	312.18	272.98	0.00	66.77	0.00	23.08	0.00	543.45	422.22	395.68	499.77	378.55	0.00	20.68	113.82	16.45	102.14	0.00	7.42
XM_067081123.1	5.69	0.00	0.00	10.39	0.00	4.46	24.39	0.00	80.88	40.12	41.03	81.56	90.17	35.68	50.96	4.09	0.00	4.54	34.65	20.16
XM_067081126.1	32.00	39.00	33.01	20.00	36.00	23.00	15.00	10.00	91.00	43.00	67.00	76.00	67.00	6.00	21.00	30.00	24.00	24.00	5.00	13.00
XM_067081127.1	59.00	0.00	126.00	42.00	0.00	21.00	54.00	39.00	306.03	207.18	290.75	266.00	0.00	11.00	26.32	30.03	144.21	112.00	6.00	5.00
XM_067081129.1	348.07	258.38	168.37	97.74	213.86	82.01	83.00	95.08	602.54	638.32	479.82	418.93	446.87	58.17	121.00	132.97	848.89	449.64	56.00	75.08
XM_067081135.1	125.72	5.00	0.00	166.48	164.99	103.01	104.00	79.00	181.19	221.00	305.02	202.00	309.54	98.87	74.00	132.00	262.86	164.00	47.00	96.00
XM_067081155.1	56.99	52.00	71.88	10.00	3.00	1.00	1.00	2.00	82.00	100.00	1088.57	114.02	180.00	8.00	10.00	25.00	22.93	41.48	4.00	10.99
XM_067081159.1	443.00	208.00	219.00	97.03	194.00	126.00	86.00	120.00	795.03	835.86	849.07	834.79	971.51	100.00	116.00	236.24	636.20	322.00	57.00	89.02
XM_067081162.1	36.29	35.49	24.79	58.00	61.95	0.00	8.38	0.00	238.47	509.92	373.87	301.70	418.57	30.36	38.53	102.47	320.83	169.25	0.00	41.00
XM_067081205.1	133.00	118.00	60.04	110.47	113.00	49.00	56.00	45.00	420.00	518.00	471.00	387.00	496.14	25.00	95.00	104.00	301.22	158.00	53.00	88.00
XM_067081213.1	381.00	167.00	95.00	123.88	183.00	128.00	102.00	77.00	286.01	123.00	235.00	331.00	224.00	101.00	103.00	92.00	802.04	275.00	49.00	73.00
XM_067081221.1	375.89	338.82	191.68	358.01	591.40	289.71	244.81	246.90	226.00	212.00	517.59	195.50	305.59	227.00	231.83	367.43	446.04	326.85	170.00	285.83
XM_067081231.1	16.00	26.00	6.00	27.00	4.00	0.00	15.00	12.00	651.01	881.19	908.99	877.84	992.12	11.00	6.00	17.00	97.00	79.00	6.00	0.00
XM_067081235.1	97.00	0.00	0.00	0.00	0.00	3.00	1.00	1.00	73508.20	34290.14	77329.54	64749.83	60984.28	4.00	0.00	1.00	242.19	82.00	0.00	0.00
XM_067081244.1	3.14	0.00	0.00	0.00	76.81	50.97	30.98	36.37	20.78	0.00	104.22	0.00	174.36	36.26	0.00	158.64	0.00	20.00	25.00	68.38
XM_067081250.1	236.00	140.00	111.00	99.00	161.00	100.02	79.00	105.00	665.08	1030.95	1209.86	1033.96	1013.27	46.00	86.00	56.00	346.46	184.00	30.00	64.00
XM_067081257.1	82.78	76.00	14.00	34.00	23.00	52.00	47.00	43.00	499.95	171.04	197.00	252.24	628.08	4.00	43.00	172.06	79.39	38.00	139.06	74.04
XM_067081259.1	5386.61	6351.37	4401.72	4089.66	8361.78	4662.65	4260.42	4215.15	3415.82	3034.75	7212.98	3142.58	5520.07	3233.09	3600.11	2829.12	6817.76	4447.60	2577.33	3993.36
XM_067081260.1	779.10	1203.56	675.14	194.97	1324.00	455.17	485.63	640.17	888.40	131.23	1205.71	394.22	1082.51	434.93	606.08	329.86	774.33	1225.11	317.45	586.81
XM_067081262.1	242.35	458.25	0.00	0.00	386.49	0.00	0.00	117.28	103.31	0.00	333.96	209.46	91.59	214.01	35.69	262.18	0.00	22.11	95.90	186.93
XM_067081263.1	169.87	253.59	96.68	13.32	166.32	32.72	54.47	0.00	129.09	155.50	543.72	0.00	417.21	30.50	57.82	184.82	115.30	152.47	47.01	0.00
