	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067106276.1	12.6425	15.5769	13.8075	13.9262	17.1573	15.7590	14.4452	10.6335	18.6312	20.0574	34.5714	20.8334	19.3823	11.8669	11.2628	13.4821	16.4844	15.7478	9.7617	10.2483
XM_067106281.1	4.4969	5.5056	3.4297	10.6608	7.3549	25.9135	14.4144	13.5217	7.4367	4.8839	7.4857	7.4343	5.9341	9.7889	9.2789	8.5274	4.6914	5.0864	9.1940	10.2189
XM_067106286.1	2.4963	0.9375	0.9658	2.2447	1.3674	1.7674	1.8942	1.5350	4.0493	5.2413	2.8795	4.6408	2.7924	1.4831	1.5702	1.4763	3.7342	1.8615	1.0704	1.5641
XM_067106291.1	1.4184	0.1908	0.3235	1.0429	0.3333	0.5171	0.8282	0.8279	8.3266	9.3043	6.2090	7.1060	4.7369	0.9701	0.1914	0.6644	2.1059	0.8500	0.2980	0.6712
XM_067106292.1	5.3625	2.5786	1.5097	2.2138	1.8948	2.1609	1.9885	1.3499	14.9654	17.2294	7.5347	14.7288	9.1824	1.1454	2.2392	1.0461	9.0317	3.7665	1.1057	1.5810
XM_067106295.1	0.5519	0.0719	0.1195	6.9547	5.4419	0.2209	0.1526	0.1665	0.0937	0.0851	0.0786	0.2661	0.1537	23.2226	4.3123	44.8517	0.4554	0.2462	17.9513	0.2540
XM_067106297.1	4.0828	2.0520	1.5232	2.5198	2.0219	2.3050	1.9180	1.8115	6.6054	9.9475	5.0915	9.0265	4.7434	2.0575	1.5989	1.8044	10.0316	3.9814	2.0064	2.5691
XM_067106298.1	5.0473	4.0355	3.0006	5.4802	3.1301	2.4692	2.1546	2.1565	12.5032	6.9405	13.1734	10.5902	9.8460	3.7412	3.7867	4.0328	15.0867	7.2167	2.1288	3.8969
XM_067106299.1	4.4218	6.2515	4.9359	4.0635	0.3244	0.6109	0.5551	0.4639	0.8950	0.6039	1.8839	1.4658	0.9592	2.4444	3.2083	0.7283	0.7830	5.5941	0.9317	1.8536
XM_067106302.1	4.0240	5.1929	2.9704	3.1206	0.3473	0.6113	0.4564	0.3599	1.6618	2.8074	2.4672	1.9243	2.2410	2.3422	5.7371	0.5710	3.2965	6.2243	2.3714	2.6225
XM_067106306.1	3.4041	2.7292	2.0267	3.5038	1.8238	3.4219	3.9870	2.9294	3.9884	4.1147	14.7669	7.1374	8.6706	4.3367	3.4820	3.0949	2.9859	3.0899	1.8660	2.6210
XM_067106311.1	2.3685	4.7139	1.5571	4.1064	2.7100	1.8222	2.0811	1.4482	1.9394	0.4185	3.8253	1.3870	2.8802	2.0856	3.8846	33.7621	3.0151	3.0659	1.1078	2.1233
XM_067106313.1	5.1368	6.3338	4.8915	1.7943	1.8334	2.6180	0.7265	2.7080	0.4394	0.0000	0.1109	2.0250	0.0673	1.0268	2.3272	4.3574	5.8533	6.7489	0.6024	1.1955
XM_067106314.1	8.8281	11.2113	5.0992	7.9735	4.6064	4.4932	5.7931	4.2452	1.2456	1.5087	0.0000	1.4661	1.5042	4.5752	1.1401	16.4487	3.2257	5.7964	2.6491	4.2590
XM_067106316.1	0.7721	0.9998	0.6566	1.5805	0.9490	1.1073	1.9527	1.1295	0.0739	0.0300	2.5127	0.9407	0.0505	0.5548	10.8757	2.8554	0.3199	1.2338	0.3920	1.0180
XM_067106327.1	17.9546	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0764	0.4418	2.7673	0.0183	0.4569	0.0000	0.0438	0.0580	0.0000	17.1273	5.7480	0.0000	0.0000
XM_067106328.1	2.5729	2.3144	1.6277	2.8499	2.1051	3.6144	3.4571	2.6122	3.9364	5.3255	9.3672	4.7274	7.2407	2.6247	3.8550	15.6929	4.2104	2.1282	3.5319	2.7544
XM_067106332.1	0.3462	0.0000	0.0000	0.0000	0.0232	0.0873	0.0000	0.0000	10.0251	20.6790	9.2823	15.4361	4.7498	0.0000	0.0000	0.1038	0.5924	0.2793	0.0000	0.0000
XM_067106350.1	3.6619	3.3913	2.7494	2.4817	2.1246	2.0728	2.4526	2.0060	9.0817	6.8447	6.6413	8.0428	6.0089	1.3893	1.9393	3.6234	4.0223	4.2382	1.4734	1.9928
XM_067106355.1	30.8822	26.5479	17.8319	14.1707	11.9263	12.4834	12.1257	8.1791	46.1584	39.5220	106.0912	40.2785	52.6756	16.0197	9.5481	30.6563	48.7283	37.8258	10.1601	17.2125
XM_067106357.1	7.8787	3.8106	2.5253	1.6907	4.3717	6.7001	3.5134	2.1892	66.7359	22.3281	26.7816	37.0055	29.3495	8.7075	3.2788	6.6951	12.2527	4.8966	4.6116	5.2454
XM_067106360.1	67.5040	20.4323	23.2575	28.7428	21.7521	16.3240	15.7864	15.3356	593.4145	662.6509	400.5564	390.8352	448.6020	37.5560	37.3878	47.0388	269.3204	77.9665	18.5560	25.0833
XM_067106361.1	1.2576	1.2659	1.1118	2.0100	1.2646	1.8728	1.5155	2.9722	9.0094	9.1206	12.4471	15.5088	8.8735	1.0910	0.7267	2.1457	1.4131	1.9087	0.3935	1.0125
XM_067106363.1	0.5423	0.0000	0.0762	0.0443	0.0563	0.0695	0.0243	0.0206	9.3620	4.8962	4.8023	6.9986	7.6316	0.0215	0.0198	0.0000	1.5788	0.6268	0.0000	0.0522
XM_067106375.1	0.8999	1.5325	0.8630	0.3279	0.2777	0.2239	0.2161	0.4716	2.1647	3.8210	3.4170	1.9888	1.8466	0.2001	0.4402	0.0000	2.0763	1.2439	0.1030	0.1545
XM_067106384.1	6.3429	1.2798	1.2205	10.6383	6.9629	11.5985	10.7651	7.4136	52.7480	130.1711	73.1297	114.2672	57.5844	5.0258	9.9190	25.8068	87.6044	12.6092	12.1175	4.9487
