pathway_id	pathway_name	source	jumper_idx	laggard_idx	log2_ratio_idx	n_contributing_taxa_jumper	n_contributing_taxa_laggard	top_jumper_taxa	top_laggard_taxa	method_note
map00310	Lysine degradation	KEGG_GENOME	0.002043037647848021	0.005033231732716611	-1.3003498586789781	79	111	Klebsiella variicola (3.95e-04); Pectobacterium cacticida (1.55e-04); Citrobacter koseri (1.52e-04); Flavobacterium jumunjinense (1.15e-04); Arcticibacterium luteifluviistationis (8.71e-05)	Cutibacterium acnes (3.89e-04); Pseudomonas oryzihabitans (3.07e-04); Moraxella osloensis (2.84e-04); Pseudomonas azotoformans (2.43e-04); Pseudomonas alkylphenolica (2.38e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00311	Penicillin and cephalosporin biosynthesis	KEGG_GENOME	0.00017156557292990506	0.0003492472905837809	-1.0212292168388484	49	84	Arcticibacterium luteifluviistationis (4.84e-05); Pseudoalteromonas phenolica (1.60e-05); Flavobacterium jumunjinense (1.28e-05); Emticicia soli (1.27e-05); Citrobacter koseri (7.25e-06)	Moraxella osloensis (5.68e-05); Flavobacterium haoranii (2.01e-05); Lysobacter brunescens (1.79e-05); Massilia arenae (1.57e-05); Stutzerimonas stutzeri (1.33e-05)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00330	Arginine and proline metabolism	KEGG_GENOME	0.0033377841172157053	0.00858155848125723	-1.362084969639978	79	111	Klebsiella variicola (6.87e-04); Pectobacterium cacticida (2.38e-04); Pseudoalteromonas phenolica (2.09e-04); Citrobacter koseri (1.38e-04); Arcticibacterium luteifluviistationis (1.35e-04)	Cutibacterium acnes (1.30e-03); Pseudomonas oryzihabitans (4.27e-04); Pseudomonas alkylphenolica (3.86e-04); Exiguobacterium aestuarii (3.73e-04); Moraxella osloensis (3.41e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00331	Clavulanic acid biosynthesis	KEGG_GENOME	0.0	7.943562576605733e-07	-0.8434663563296437	0	1		Halopseudomonas pelagia (7.94e-07)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00332	Carbapenem biosynthesis	KEGG_GENOME	0.0003411228308463575	0.0007489866283412799	-1.1323504912124152	71	95	Pectobacterium cacticida (8.33e-05); Klebsiella variicola (3.43e-05); Arcticibacterium luteifluviistationis (2.90e-05); Pseudoalteromonas phenolica (2.41e-05); Citrobacter koseri (1.45e-05)	Cutibacterium acnes (2.59e-04); Pectobacterium cacticida (7.20e-05); Pseudomonas oryzihabitans (2.67e-05); Mariniblastus fucicola (2.57e-05); Cutibacterium namnetense (2.56e-05)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00333	Prodigiosin biosynthesis	KEGG_GENOME	0.0008744903070821182	0.0023318653677800202	-1.413939939028666	79	110	Pectobacterium cacticida (9.52e-05); Arcticibacterium luteifluviistationis (8.71e-05); Klebsiella variicola (8.59e-05); Pseudoalteromonas phenolica (5.62e-05); Flavobacterium jumunjinense (3.83e-05)	Cutibacterium acnes (2.59e-04); Moraxella osloensis (2.27e-04); Pseudomonas oryzihabitans (1.20e-04); Exiguobacterium aestuarii (1.10e-04); Pseudomonas azotoformans (9.30e-05)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00340	Histidine metabolism	KEGG_GENOME	0.0022802666856206752	0.007941984975179825	-1.7998461632560716	79	111	Klebsiella variicola (2.40e-04); Pectobacterium cacticida (1.90e-04); Flavobacterium jumunjinense (1.79e-04); Citrobacter koseri (1.09e-04); Arcticibacterium luteifluviistationis (1.06e-04)	Cutibacterium acnes (1.94e-03); Moraxella osloensis (8.52e-04); Exiguobacterium aestuarii (3.29e-04); Pseudomonas oryzihabitans (3.07e-04); Flavobacterium haoranii (2.82e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00350	Tyrosine metabolism	KEGG_GENOME	0.0020734999519753613	0.0052777313721105185	-1.3474276271595054	79	111	Klebsiella variicola (4.98e-04); Pectobacterium cacticida (1.67e-04); Citrobacter koseri (1.02e-04); Pseudoalteromonas phenolica (9.63e-05); Flavobacterium jumunjinense (7.67e-05)	Cutibacterium acnes (7.77e-04); Moraxella osloensis (4.55e-04); Pseudomonas oryzihabitans (2.27e-04); Pseudomonas azotoformans (2.15e-04); Exiguobacterium aestuarii (1.54e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00360	Phenylalanine metabolism	KEGG_GENOME	0.0022398057197373575	0.005439040901078258	-1.2795999273928862	79	111	Klebsiella variicola (6.35e-04); Pectobacterium cacticida (1.43e-04); Flavobacterium jumunjinense (1.28e-04); Arcticibacterium luteifluviistationis (1.06e-04); Pseudoalteromonas phenolica (5.62e-05)	Cutibacterium acnes (6.48e-04); Pseudomonas oryzihabitans (3.34e-04); Exiguobacterium aestuarii (2.41e-04); Moraxella osloensis (2.27e-04); Cupriavidus necator (2.11e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00361	Chlorocyclohexane and chlorobenzene degradation	KEGG_GENOME	0.00022210068595999215	0.0008663508940279271	-1.9589208164407619	56	90	Klebsiella variicola (5.15e-05); Arcticibacterium luteifluviistationis (1.94e-05); Ralstonia pickettii (1.76e-05); Marivita roseacus (1.06e-05); Citrobacter koseri (7.25e-06)	Pseudomonas alkylphenolica (9.85e-05); Cupriavidus necator (8.19e-05); Pseudomonas oryzihabitans (6.68e-05); Exiguobacterium aestuarii (6.58e-05); Pseudomonas azotoformans (2.86e-05)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
