ko	ko_name	jumper_idx	laggard_idx	log2_ratio_idx	source
ko:K00301		3.0613994269060274e-06	4.765470928355518e-05	-3.582530625803236	KEGG_GENOME
ko:K00302		1.3059429090945143e-05	9.087312552951149e-05	-2.7081048977887114	KEGG_GENOME
ko:K00303		1.3059429090945143e-05	9.64448390542889e-05	-2.7930477661173687	KEGG_GENOME
ko:K00304		1.3059429090945143e-05	9.023377817529067e-05	-2.6980300509404684	KEGG_GENOME
ko:K00305		1.3059429090945143e-05	9.087312552951149e-05	-2.7081048977887114	KEGG_GENOME
ko:K00311		3.464842644965609e-05	0.00021724017925126382	-2.614006432968169	KEGG_GENOME
ko:K00313		1.9959524555760146e-05	0.00015188183901478227	-2.8667391413268826	KEGG_GENOME
ko:K00315		2.423378328490826e-05	6.7380351591133295e-06	1.7053173358256386	KEGG_GENOME
ko:K00316		7.948197497254611e-06	6.311470035403992e-05	-2.840986175100899	KEGG_GENOME
ko:K00317		2.7969345448494337e-06	1.2463736004385411e-06	0.7572372424413761	KEGG_GENOME
ko:K00318		3.470272512054916e-05	0.0002572643775924549	-2.8547425645243036	KEGG_GENOME
ko:K00322		9.957564064444317e-05	0.00021598523554557613	-1.1093159522203155	KEGG_GENOME
ko:K00324		0.00012088437729177804	0.0004985090346291584	-2.0349975540430205	KEGG_GENOME
ko:K00325		9.811850897563121e-05	0.00034968470149141303	-1.8229481043346247	KEGG_GENOME
ko:K00330		0.00014990254644495264	0.00045852763651565146	-1.6065344782378317	KEGG_GENOME
ko:K00331		0.00014382805685886596	0.0005910559601007406	-2.0313924273006867	KEGG_GENOME
ko:K00332		6.953536422107393e-05	0.0003775275493898781	-2.42397963787706	KEGG_GENOME
ko:K00333		6.953536422107393e-05	0.0003775275493898781	-2.42397963787706	KEGG_GENOME
ko:K00334		0.00012982640725313162	0.00041650822075329824	-1.6741508269949705	KEGG_GENOME
ko:K00335		0.0001292671394018611	0.0004187891586472253	-1.6881917064006255	KEGG_GENOME
ko:K00336		0.0001292671394018611	0.00041650822075329824	-1.6803314025006653	KEGG_GENOME
ko:K00337		0.00014583851317551195	0.000422640580469397	-1.52861037999089	KEGG_GENOME
ko:K00338		0.0001312775957185071	0.000564948415084924	-2.0971018322549475	KEGG_GENOME
ko:K00339		0.00014298058199497038	0.0004219614958103349	-1.5546520788750062	KEGG_GENOME
ko:K00340		0.0001389452247754782	0.00042159255358960356	-1.594405086114279	KEGG_GENOME
ko:K00341		0.0001498738703950042	0.00042546854089657636	-1.4990963534198518	KEGG_GENOME
ko:K00342		0.00015462405811152255	0.00044015958141796404	-1.503235513227041	KEGG_GENOME
ko:K00343		0.00014267581113156305	0.000422640580469397	-1.5600235974677426	KEGG_GENOME
ko:K00344		0.00019328676106712198	0.0005256072476354354	-1.438539779865383	KEGG_GENOME
ko:K00346		7.779299941741236e-05	0.0001423433269718115	-0.8633353844531325	KEGG_GENOME
ko:K00347		7.850500670836702e-05	0.00014791504049658892	-0.9053718543056009	KEGG_GENOME
ko:K00348		8.504621705634496e-05	0.00014351423025929814	-0.7480278893355752	KEGG_GENOME
ko:K00349		7.682557829125677e-05	0.00014791504049658892	-0.9361731772827576	KEGG_GENOME
ko:K00350		7.779299941741236e-05	0.0001581068519002164	-1.0138566060934378	KEGG_GENOME
ko:K00351		7.697360131448284e-05	0.00014791504049658892	-0.9334318002570037	KEGG_GENOME
