gene	module
GH624319.1	M2
GH624327.1	M2
GH624330.1	M2
GH624335.1	M2
GH624339.1	M2
GH624374.1	M2
GH624402.1	M2
GH624407.1	M2
GH624411.1	M2
GH624420.1	M2
GH624433.1	M2
GH624444.1	M2
GH624446.1	M2
GH624449.1	M4
GH624450.1	M4
GH624452.1	M2
GH624453.1	M2
GH624454.1	M2
GH624455.1	M2
GH624457.1	M4
GH624459.1	M4
GH624462.1	M8
GH624463.1	M8
GH624464.1	M4
GH624466.1	M1
GH624467.1	M1
GH624468.1	M3
GH624470.1	M3
GH624471.1	M3
GH624475.1	M1
GH624476.1	M3
GH624477.1	M1
GH624478.1	M1
GH624480.1	M12
GH624483.1	M4
GH624488.1	M3
GH624489.1	M10
GH624490.1	M10
GH624791.1	M1
GH624793.1	M4
GH624794.1	M4
GH624795.1	M4
GH624797.1	M4
GH624798.1	M4
GH624800.1	M3
GH624801.1	M4
GH624802.1	M4
GH624806.1	M1
GH624807.1	M4
GH624808.1	M4
GH624811.1	M2
GH624813.1	M5
GH624814.1	M4
GH624817.1	M5
GH624819.1	M3
GH624820.1	M4
GH624821.1	M3
GH624822.1	M16
GH624823.1	M6
GH624825.1	M6
GH624826.1	M6
GH624830.1	M4
GH624834.1	M1
GH624835.1	M1
GH624836.1	M1
GH624837.1	M1
GH624839.1	M2
GH624841.1	M3
GH624842.1	M4
GH624843.1	M6
GH624846.1	M3
GH624852.1	M10
GH624854.1	M0
GH624856.1	M1
GH624865.1	M1
GH624870.1	M11
GH624871.1	M3
GH624872.1	M0
GH624874.1	M1
GH624875.1	M4
GH624881.1	M4
GH624882.1	M4
GH624883.1	M2
GH624884.1	M2
GH624886.1	M4
GH624888.1	M8
GH624889.1	M2
GH624890.1	M2
GH624891.1	M2
GH624893.1	M2
GH624894.1	M2
GH624895.1	M0
GH624897.1	M12
GH624898.1	M2
GH624900.1	M2
GH624902.1	M2
GH624904.1	M1
GH624907.1	M4
GH624909.1	M3
GH624912.1	M4
GH624913.1	M4
GH624914.1	M4
GH624916.1	M16
GH624919.1	M4
GH624920.1	M4
GH624921.1	M4
GH624922.1	M4
GH624923.1	M8
GH624924.1	M4
GH624925.1	M4
GH624926.1	M4
GH624927.1	M4
GH624929.1	M4
GH624930.1	M4
GH624932.1	M4
GH624933.1	M4
GH624936.1	M3
GH624937.1	M4
GH624938.1	M4
GH624939.1	M4
GH624940.1	M4
GH624947.1	M4
GH624948.1	M3
GH624952.1	M10
GH624953.1	M16
GH624955.1	M2
GH624956.1	M8
GH624957.1	M10
GH624958.1	M7
GH624959.1	M3
GH624962.1	M3
GH624964.1	M4
GH624965.1	M4
GH624970.1	M4
GH624971.1	M4
GH624973.1	M4
GH624977.1	M3
GH624979.1	M4
GH624980.1	M6
GH624981.1	M6
GH624983.1	M1
GH624984.1	M1
GH624985.1	M3
GH624987.1	M3
GH624989.1	M7
GH624995.1	M12
GH624997.1	M2
GH624999.1	M1
GH625000.1	M1
GH625001.1	M4
